Authors (Year),N(Sample size),NewSID,x,1-PA,2-digitPM,3-nondigitPM,4-digitRAN,5-non-digitRAN,6-mathFluency,7-mathAccuracy,8-basicNumberKnowledge,9-calculation,10-WordProblem,11-VerbalIQ,12-NonverbalIQ,13-Vocabulary ,14-EF,15-Age
Arndt et al  (2013),71,yxj1,1-PA,1,,,,,,,,,,,,,,
Arndt et al  (2013),71,,2-digitPM,0.127,1,,,,,,,,,,,,,
Arndt et al  (2013),71,,3-nondigitPM,,,1,,,,,,,,,,,,
Arndt et al  (2013),71,,4-digitRAN,,,,1,,,,,,,,,,,
Arndt et al  (2013),71,,5-non-digitRAN,0.306,0.177,,,1,,,,,,,,,,
Arndt et al  (2013),71,,6-mathFluency,,,,,,1,,,,,,,,,
Arndt et al  (2013),71,,7-mathAccuracy,0.0537,0.307,,,0.1456,,1,,,,,,,,
Arndt et al  (2013),71,,8-basicNumberKnowledge,0.288,0.19725,,,0.292,,,1,,,,,,,
Arndt et al  (2013),71,,9-calculation,,,,,0.1257,,0.2653,,1,,,,,,
Arndt et al  (2013),71,,10-WordProblem,,,,,,,,,,1,,,,,
Arndt et al  (2013),71,,11-VerbalIQ,,,,,,,,,,,1,,,,
Arndt et al  (2013),71,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Arndt et al  (2013),71,,13-Vocabulary ,,,,,,,,,,,,,1,,
Arndt et al  (2013),71,,14-EF,0.323,0.441,,,0.334,,0.3179,,,,,,,1,
Arndt et al  (2013),71,,15-Age,,,,,,,,,,,,,,,
Abrahamson (1994),35,yxj2_1,1-PA,1,,,,,,,,,,,,,,
Abrahamson (1994),35,,2-digitPM,,1,,,,,,,,,,,,,
Abrahamson (1994),35,,3-nondigitPM,,,1,,,,,,,,,,,,
Abrahamson (1994),35,,4-digitRAN,,0.34,,1,,,,,,,,,,,
Abrahamson (1994),35,,5-non-digitRAN,,0.42,,0.88,1,,,,,,,,,,
Abrahamson (1994),35,,6-mathFluency,,0.26,,,,1,,,,,,,,,
Abrahamson (1994),35,,7-mathAccuracy,,0.3,,0.62,0.665,0.55,1,,,,,,,,
Abrahamson (1994),35,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Abrahamson (1994),35,,9-calculation,,0.3,,0.62,0.665,,0.55,,1,,,,,,
Abrahamson (1994),35,,10-WordProblem,,0.44,,0.42,0.55,,0.62,,0.62,1,,,,,
Abrahamson (1994),35,,11-VerbalIQ,,,,,,,,,,,1,,,,
Abrahamson (1994),35,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Abrahamson (1994),35,,13-Vocabulary ,,,,,,,,,,,,,1,,
Abrahamson (1994),35,,14-EF,,,,,,,,,,,,,,1,
Abrahamson (1994),35,,15-Age,,,,,,,,,,,,,,,
Abrahamson (1994),19,yxj2_2,1-PA,1,,,,,,,,,,,,,,
Abrahamson (1994),19,,2-digitPM,,1,,,,,,,,,,,,,
Abrahamson (1994),19,,3-nondigitPM,,,1,,,,,,,,,,,,
Abrahamson (1994),19,,4-digitRAN,,0.33,,1,,,,,,,,,,,
Abrahamson (1994),19,,5-non-digitRAN,,0.28,,0.82,1,,,,,,,,,,
Abrahamson (1994),19,,6-mathFluency,,0.48,,0.6,0.6,1,,,,,,,,,
Abrahamson (1994),19,,7-mathAccuracy,,0.215,,0.44,0.295,0.21,1,,,,,,,,
Abrahamson (1994),19,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Abrahamson (1994),19,,9-calculation,,0.215,,0.44,0.295,0.21,0.21,,1,,,,,,
Abrahamson (1994),19,,10-WordProblem,,0.29,,0.29,0.17,0.4825,0.4825,,,1,,,,,
Abrahamson (1994),19,,11-VerbalIQ,,,,,,,,,,,1,,,,
Abrahamson (1994),19,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Abrahamson (1994),19,,13-Vocabulary ,,,,,,,,,,,,,1,,
Abrahamson (1994),19,,14-EF,,,,,,,,,,,,,,1,
Abrahamson (1994),19,,15-Age,,,,,,,,,,,,,,,
Abrahamson (1994),16,yxj2_3,1-PA,1,,,,,,,,,,,,,,
Abrahamson (1994),16,,2-digitPM,,1,,,,,,,,,,,,,
Abrahamson (1994),16,,3-nondigitPM,,,1,,,,,,,,,,,,
Abrahamson (1994),16,,4-digitRAN,,0.14,,1,,,,,,,,,,,
Abrahamson (1994),16,,5-non-digitRAN,,0.34,,0.8,1,,,,,,,,,,
Abrahamson (1994),16,,6-mathFluency,,,,0.33,0.49,1,,,,,,,,,
Abrahamson (1994),16,,7-mathAccuracy,,,,0.42,0.525,0.545,1,,,,,,,,
Abrahamson (1994),16,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Abrahamson (1994),16,,9-calculation,,,,0.42,0.525,0.545,0.545,,1,,,,,,
Abrahamson (1994),16,,10-WordProblem,,,,0.15,0.15,0.26,0.373,,,1,,,,,
Abrahamson (1994),16,,11-VerbalIQ,,,,,,,,,,,1,,,,
Abrahamson (1994),16,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Abrahamson (1994),16,,13-Vocabulary ,,,,,,,,,,,,,1,,
Abrahamson (1994),16,,14-EF,,,,,,,,,,,,,,1,
Abrahamson (1994),16,,15-Age,,,,,,,,,,,,,,,
Bull et al (1997),68,yxj3,1-PA,1,,,,,,,,,,,,,,
Bull et al (1997),68,,2-digitPM,,1,,,,,,,,,,,,,
Bull et al (1997),68,,3-nondigitPM,,,1,,,,,,,,,,,,
Bull et al (1997),68,,4-digitRAN,,,,1,,,,,,,,,,,
Bull et al (1997),68,,5-non-digitRAN,,,,,1,,,,,,,,,,
Bull et al (1997),68,,6-mathFluency,,,,,,1,,,,,,,,,
Bull et al (1997),68,,7-mathAccuracy,,0.377,,,,,1,,,,,,,,
Bull et al (1997),68,,8-basicNumberKnowledge,,0.34,,,,,,1,,,,,,,
Bull et al (1997),68,,9-calculation,,0.48,,,,,,,1,,,,,,
Bull et al (1997),68,,10-WordProblem,,0.325,,,,,,,,1,,,,,
Bull et al (1997),68,,11-VerbalIQ,,,,,,,,,,,1,,,,
Bull et al (1997),68,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Bull et al (1997),68,,13-Vocabulary ,,,,,,,,,,,,,1,,
Bull et al (1997),68,,14-EF,,,,,,,,,,,,,,1,
Bull et al (1997),68,,15-Age,,,,,,,,,,,,,,,
Anvari et al (2002),50,yxj4_1,1-PA,1,,,,,,,,,,,,,,
Anvari et al (2002),50,,2-digitPM,0.52,1,,,,,,,,,,,,,
Anvari et al (2002),50,,3-nondigitPM,,,1,,,,,,,,,,,,
Anvari et al (2002),50,,4-digitRAN,,,,1,,,,,,,,,,,
Anvari et al (2002),50,,5-non-digitRAN,,,,,1,,,,,,,,,,
Anvari et al (2002),50,,6-mathFluency,,,,,,1,,,,,,,,,
Anvari et al (2002),50,,7-mathAccuracy,0.53,0.43,,,,,1,,,,,,,,
Anvari et al (2002),50,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Anvari et al (2002),50,,9-calculation,,,,,,,,,1,,,,,,
Anvari et al (2002),50,,10-WordProblem,0.53,0.43,,,,,,,,1,,,,,
Anvari et al (2002),50,,11-VerbalIQ,,,,,,,,,,,1,,,,
Anvari et al (2002),50,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Anvari et al (2002),50,,13-Vocabulary ,0.57,0.64,,,,,,,,0.48,,,1,,
Anvari et al (2002),50,,14-EF,,,,,,,,,,,,,,1,
Anvari et al (2002),50,,15-Age,,,,,,,,,,,,,,,
Anvari et al (2002),50,yxj4_2,1-PA,1,,,,,,,,,,,,,,
Anvari et al (2002),50,,2-digitPM,0.62,1,,,,,,,,,,,,,
Anvari et al (2002),50,,3-nondigitPM,,,1,,,,,,,,,,,,
Anvari et al (2002),50,,4-digitRAN,,,,1,,,,,,,,,,,
Anvari et al (2002),50,,5-non-digitRAN,,,,,1,,,,,,,,,,
Anvari et al (2002),50,,6-mathFluency,,,,,,1,,,,,,,,,
Anvari et al (2002),50,,7-mathAccuracy,0.22,0.22,,,,,1,,,,,,,,
Anvari et al (2002),50,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Anvari et al (2002),50,,9-calculation,,,,,,,,,1,,,,,,
Anvari et al (2002),50,,10-WordProblem,0.22,0.22,,,,,,,,1,,,,,
Anvari et al (2002),50,,11-VerbalIQ,,,,,,,,,,,1,,,,
Anvari et al (2002),50,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Anvari et al (2002),50,,13-Vocabulary ,0.45,0.37,,,,,,,,0.08,,,1,,
Anvari et al (2002),50,,14-EF,,,,,,,,,,,,,,1,
Anvari et al (2002),50,,15-Age,,,,,,,,,,,,,,,
Alloway et al (2005),194,yxj5,1-PA,1,,,,,,,,,,,,,,
Alloway et al (2005),194,,2-digitPM,,1,,,,,,,,,,,,,
Alloway et al (2005),194,,3-nondigitPM,0.51,,1,,,,,,,,,,,,
Alloway et al (2005),194,,4-digitRAN,,,,1,,,,,,,,,,,
Alloway et al (2005),194,,5-non-digitRAN,,,,,1,,,,,,,,,,
Alloway et al (2005),194,,6-mathFluency,,,,,,1,,,,,,,,,
Alloway et al (2005),194,,7-mathAccuracy,0.49,,0.52,,,,1,,,,,,,,
Alloway et al (2005),194,,8-basicNumberKnowledge,0.49,,0.52,,,,,1,,,,,,,
Alloway et al (2005),194,,9-calculation,,,,,,,,,1,,,,,,
Alloway et al (2005),194,,10-WordProblem,,,,,,,,,,1,,,,,
Alloway et al (2005),194,,11-VerbalIQ,,,,,,,,,,,1,,,,
Alloway et al (2005),194,,12-nonverbalIQ,0.29,,0.3,,,,,0.37,,,,1,,,
Alloway et al (2005),194,,13-Vocabulary ,,,,,,,,,,,,,1,,
Alloway et al (2005),194,,14-EF,,,,,,,,,,,,,,1,
Alloway et al (2005),194,,15-Age,,,,,,,,,,,,,,,
Barrouillet et al (2005),47,yxj6_1,1-PA,1,,,,,,,,,,,,,,
Barrouillet et al (2005),47,,2-digitPM,,1,,,,,,,,,,,,,
Barrouillet et al (2005),47,,3-nondigitPM,,,1,,,,,,,,,,,,
Barrouillet et al (2005),47,,4-digitRAN,,,,1,,,,,,,,,,,
Barrouillet et al (2005),47,,5-non-digitRAN,,,,,1,,,,,,,,,,
Barrouillet et al (2005),47,,6-mathFluency,,,,,,1,,,,,,,,,
Barrouillet et al (2005),47,,7-mathAccuracy,,0.417,,,,,1,,,,,,,,
Barrouillet et al (2005),47,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Barrouillet et al (2005),47,,9-calculation,,0.417,,,,,,,1,,,,,,
Barrouillet et al (2005),47,,10-WordProblem,,,,,,,,,,1,,,,,
Barrouillet et al (2005),47,,11-VerbalIQ,,,,,,,,,,,1,,,,
Barrouillet et al (2005),47,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Barrouillet et al (2005),47,,13-Vocabulary ,,,,,,,,,,,,,1,,
Barrouillet et al (2005),47,,14-EF,,,,,,,,,,,,,,1,
Barrouillet et al (2005),47,,15-Age,,,,,,,,,,,,,,,
Barrouillet et al (2005),44,yxj6_2,1-PA,1,,,,,,,,,,,,,,
Barrouillet et al (2005),44,,2-digitPM,,1,,,,,,,,,,,,,
Barrouillet et al (2005),44,,3-nondigitPM,,,1,,,,,,,,,,,,
Barrouillet et al (2005),44,,4-digitRAN,,,,1,,,,,,,,,,,
Barrouillet et al (2005),44,,5-non-digitRAN,,,,,1,,,,,,,,,,
Barrouillet et al (2005),44,,6-mathFluency,,,,,,1,,,,,,,,,
Barrouillet et al (2005),44,,7-mathAccuracy,,0.405,,,,,1,,,,,,,,
Barrouillet et al (2005),44,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Barrouillet et al (2005),44,,9-calculation,,0.405,,,,,,,1,,,,,,
Barrouillet et al (2005),44,,10-WordProblem,,,,,,,,,,1,,,,,
Barrouillet et al (2005),44,,11-VerbalIQ,,,,,,,,,,,1,,,,
Barrouillet et al (2005),44,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Barrouillet et al (2005),44,,13-Vocabulary ,,,,,,,,,,,,,1,,
Barrouillet et al (2005),44,,14-EF,,,,,,,,,,,,,,1,
Barrouillet et al (2005),44,,15-Age,,,,,,,,,,,,,,,
Durand et al (2005),162,yxj7,1-PA,1,,,,,,,,,,,,,,
Durand et al (2005),162,,2-digitPM,,1,,,,,,,,,,,,,
Durand et al (2005),162,,3-nondigitPM,0.35,,1,,,,,,,,,,,,
Durand et al (2005),162,,4-digitRAN,,,,1,,,,,,,,,,,
Durand et al (2005),162,,5-non-digitRAN,,,,,1,,,,,,,,,,
Durand et al (2005),162,,6-mathFluency,0.25,,0.125,,,1,,,,,,,,,
Durand et al (2005),162,,7-mathAccuracy,0.185,,0.07,,,0.515,1,,,,,,,,
Durand et al (2005),162,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Durand et al (2005),162,,9-calculation,0.31,,0.16,,,0.515,0.515,,1,,,,,,
Durand et al (2005),162,,10-WordProblem,,,,,,,,,,1,,,,,
Durand et al (2005),162,,11-VerbalIQ,0.43,,0.24,,,0.335,0.47,,0.387,,1,,,,
Durand et al (2005),162,,12-nonverbalIQ,0.29,,0.14,,,0.205,0.44,,0.297,,0.5,1,,,
Durand et al (2005),162,,13-Vocabulary ,0.35,,0.29,,,0.195,0.32,,0.237,,0.64,0.33,1,,
Durand et al (2005),162,,14-EF,,,,,,,,,,,,,,1,
Durand et al (2005),162,,15-Age,0.37,,0.19,,,0.195,0.32,,0.2575,,0.64,0.33,,,
Fuchs et al (2006),312,yxj8,1-PA,1,,,,,,,,,,,,,,
Fuchs et al (2006),312,,2-digitPM,,1,,,,,,,,,,,,,
Fuchs et al (2006),312,,3-nondigitPM,,,1,,,,,,,,,,,,
Fuchs et al (2006),312,,4-digitRAN,,,,1,,,,,,,,,,,
Fuchs et al (2006),312,,5-non-digitRAN,,,,,1,,,,,,,,,,
Fuchs et al (2006),312,,6-mathFluency,,0.26,,,,1,,,,,,,,,
Fuchs et al (2006),312,,7-mathAccuracy,,0.335,,,,0.56,1,,,,,,,,
Fuchs et al (2006),312,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Fuchs et al (2006),312,,9-calculation,,0.27,,,,0.56,0.56,,1,,,,,,
Fuchs et al (2006),312,,10-WordProblem,,0.39,,,,0.45,0.43,,,1,,,,,
Fuchs et al (2006),312,,11-VerbalIQ,,,,,,,,,,,1,,,,
Fuchs et al (2006),312,,12-nonverbalIQ,0.31,0.3,,,,0.29,0.495,,,,,1,,,
Fuchs et al (2006),312,,13-Vocabulary ,0.4,0.35,,,,0.34,0.39,,,,,0.34,1,,
Fuchs et al (2006),312,,14-EF,,,,,,,,,,,,,,1,
Fuchs et al (2006),312,,15-Age,,,,,,,,,,,,,,,
Andersson et al (2007),31,yxj9_1,1-PA,1,,,,,,,,,,,,,,
Andersson et al (2007),31,,2-digitPM,,1,,,,,,,,,,,,,
Andersson et al (2007),31,,3-nondigitPM,,0.18,1,,,,,,,,,,,,
Andersson et al (2007),31,,4-digitRAN,,,,1,,,,,,,,,,,
Andersson et al (2007),31,,5-non-digitRAN,,,,,1,,,,,,,,,,
Andersson et al (2007),31,,6-mathFluency,,-0.06,-0.06,,,1,,,,,,,,,
Andersson et al (2007),31,,7-mathAccuracy,,,,,,,1,,,,,,,,
Andersson et al (2007),31,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Andersson et al (2007),31,,9-calculation,,-0.06,-0.06,,,,,,1,,,,,,
Andersson et al (2007),31,,10-WordProblem,,,,,,,,,,1,,,,,
Andersson et al (2007),31,,11-VerbalIQ,,,,,,,,,,,1,,,,
Andersson et al (2007),31,,12-nonverbalIQ,,0.27,0.27,,,-0.03,,,-0.03,,,1,,,
Andersson et al (2007),31,,13-Vocabulary ,,0.21,0.02,,,-0.4,,,-0.4,,,,1,,
Andersson et al (2007),31,,14-EF,,0.25,-0.04,,,0.3,,,0.3,,,,,1,
Andersson et al (2007),31,,15-Age,,,,,,,,,,,,,,,
Andersson et al (2007),37,yxj9_2,1-PA,1,,,,,,,,,,,,,,
Andersson et al (2007),37,,2-digitPM,,1,,,,,,,,,,,,,
Andersson et al (2007),37,,3-nondigitPM,,0.18,1,,,,,,,,,,,,
Andersson et al (2007),37,,4-digitRAN,,,,1,,,,,,,,,,,
Andersson et al (2007),37,,5-non-digitRAN,,,,,1,,,,,,,,,,
Andersson et al (2007),37,,6-mathFluency,,0.17,0.28,,,1,,,,,,,,,
Andersson et al (2007),37,,7-mathAccuracy,,,,,,,1,,,,,,,,
Andersson et al (2007),37,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Andersson et al (2007),37,,9-calculation,,0.17,0.28,,,,,,1,,,,,,
Andersson et al (2007),37,,10-WordProblem,,,,,,,,,,1,,,,,
Andersson et al (2007),37,,11-VerbalIQ,,,,,,,,,,,1,,,,
Andersson et al (2007),37,,12-nonverbalIQ,,-0.1,0.16,,,0.42,,,0.42,,,1,,,
Andersson et al (2007),37,,13-Vocabulary ,,0.23,-0.12,,,0.17,,,0.17,,,,1,,
Andersson et al (2007),37,,14-EF,,0.13,0.22,,,0.36,,,0.36,,,,,1,
Andersson et al (2007),37,,15-Age,,,,,,,,,,,,,,,
Andersson et al (2007),23,yxj9_3,1-PA,1,,,,,,,,,,,,,,
Andersson et al (2007),23,,2-digitPM,,1,,,,,,,,,,,,,
Andersson et al (2007),23,,3-nondigitPM,,0.33,1,,,,,,,,,,,,
Andersson et al (2007),23,,4-digitRAN,,,,1,,,,,,,,,,,
Andersson et al (2007),23,,5-non-digitRAN,,,,,1,,,,,,,,,,
Andersson et al (2007),23,,6-mathFluency,,0.1,0.38,,,1,,,,,,,,,
Andersson et al (2007),23,,7-mathAccuracy,,,,,,,1,,,,,,,,
Andersson et al (2007),23,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Andersson et al (2007),23,,9-calculation,,0.1,0.38,,,,,,1,,,,,,
Andersson et al (2007),23,,10-WordProblem,,,,,,,,,,1,,,,,
Andersson et al (2007),23,,11-VerbalIQ,,,,,,,,,,,1,,,,
Andersson et al (2007),23,,12-nonverbalIQ,,0.2,0.46,,,0.37,,,0.37,,,1,,,
Andersson et al (2007),23,,13-Vocabulary ,,0.37,0.3,,,0.36,,,0.36,,,,1,,
Andersson et al (2007),23,,14-EF,,0.37,0.46,,,0.5,,,0.5,,,,,1,
Andersson et al (2007),23,,15-Age,,,,,,,,,,,,,,,
Andersson et al (2007),47,yxj9_4,1-PA,1,,,,,,,,,,,,,,
Andersson et al (2007),47,,2-digitPM,,1,,,,,,,,,,,,,
Andersson et al (2007),47,,3-nondigitPM,,0.6,1,,,,,,,,,,,,
Andersson et al (2007),47,,4-digitRAN,,,,1,,,,,,,,,,,
Andersson et al (2007),47,,5-non-digitRAN,,,,,1,,,,,,,,,,
Andersson et al (2007),47,,6-mathFluency,,0.07,0.07,,,1,,,,,,,,,
Andersson et al (2007),47,,7-mathAccuracy,,,,,,,1,,,,,,,,
Andersson et al (2007),47,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Andersson et al (2007),47,,9-calculation,,0.07,0.07,,,,,,1,,,,,,
Andersson et al (2007),47,,10-WordProblem,,,,,,,,,,1,,,,,
Andersson et al (2007),47,,11-VerbalIQ,,0.21,0.04,,,0.3,,,0.3,,1,,,,
Andersson et al (2007),47,,12-nonverbalIQ,,0.03,-0.09,,,0.07,,,0.07,,,1,,,
Andersson et al (2007),47,,13-Vocabulary ,,0.27,0.22,,,0.24,,,0.24,,,,1,,
Andersson et al (2007),47,,14-EF,,,,,,,,,,,,,,1,
Andersson et al (2007),47,,15-Age,,,,,,,,,,,,,,,
Andersson (2007),69,yxj10,1-PA,1,,,,,,,,,,,,,,
Andersson (2007),69,,2-digitPM,,1,,,,,,,,,,,,,
Andersson (2007),69,,3-nondigitPM,,,1,,,,,,,,,,,,
Andersson (2007),69,,4-digitRAN,,,,1,,,,,,,,,,,
Andersson (2007),69,,5-non-digitRAN,,,,,1,,,,,,,,,,
Andersson (2007),69,,6-mathFluency,,,,,,1,,,,,,,,,
Andersson (2007),69,,7-mathAccuracy,,0.33,,,,,1,,,,,,,,
Andersson (2007),69,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Andersson (2007),69,,9-calculation,,0.32,,,,,0.69,,1,,,,,,
Andersson (2007),69,,10-WordProblem,,0.34,,,,,0.69,,0.69,1,,,,,
Andersson (2007),69,,11-VerbalIQ,,,,,,,,,,,1,,,,
Andersson (2007),69,,12-nonverbalIQ,,0.22,,,,,0.435,,0.44,0.43,,1,,,
Andersson (2007),69,,13-Vocabulary ,,,,,,,,,,,,,1,,
Andersson (2007),69,,14-EF,,,,,,,,,,,,,,1,
Andersson (2007),69,,15-Age,,0.2,,,,,0.45,,0.46,0.44,,,,,
Berg et al (2008),90,yxj11,1-PA,1,,,,,,,,,,,,,,
Berg et al (2008),90,,2-digitPM,,1,,,,,,,,,,,,,
Berg et al (2008),90,,3-nondigitPM,,0.58,1,,,,,,,,,,,,
Berg et al (2008),90,,4-digitRAN,,0.46,0.39,1,,,,,,,,,,,
Berg et al (2008),90,,5-non-digitRAN,,,,,1,,,,,,,,,,
Berg et al (2008),90,,6-mathFluency,,,,,,1,,,,,,,,,
Berg et al (2008),90,,7-mathAccuracy,,0.57,0.43,0.44,,,1,,,,,,,,
Berg et al (2008),90,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Berg et al (2008),90,,9-calculation,,0.57,0.43,0.44,,,,,1,,,,,,
Berg et al (2008),90,,10-WordProblem,,,,,,,,,,1,,,,,
Berg et al (2008),90,,11-VerbalIQ,,,,,,,,,,,1,,,,
Berg et al (2008),90,,12-nonverbalIQ,,0.54,0.38,0.38,,,0.44,,0.44,,,1,,,
Berg et al (2008),90,,13-Vocabulary ,,,,,,,,,,,,,1,,
Berg et al (2008),90,,14-EF,,,,,,,,,,,,,,1,
Berg et al (2008),90,,15-Age,,0.38,0.32,0.45,,,0.65,,0.65,,,,,,
Fuchs et al (2008),924,yxj12,1-PA,1,,,,,,,,,,,,,,
Fuchs et al (2008),924,,2-digitPM,,1,,,,,,,,,,,,,
Fuchs et al (2008),924,,3-nondigitPM,,,1,,,,,,,,,,,,
Fuchs et al (2008),924,,4-digitRAN,,,,1,,,,,,,,,,,
Fuchs et al (2008),924,,5-non-digitRAN,,,,,1,,,,,,,,,,
Fuchs et al (2008),924,,6-mathFluency,,,,,,1,,,,,,,,,
Fuchs et al (2008),924,,7-mathAccuracy,,,,0.347,,0.47,1,,,,,,,,
Fuchs et al (2008),924,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Fuchs et al (2008),924,,9-calculation,,,,,,,0.47,,1,,,,,,
Fuchs et al (2008),924,,10-WordProblem,,,,0.347,,0.47,,,0.47,1,,,,,
Fuchs et al (2008),924,,11-VerbalIQ,,,,,,,,,,,1,,,,
Fuchs et al (2008),924,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Fuchs et al (2008),924,,13-Vocabulary ,,,,,,,,,,,,,1,,
Fuchs et al (2008),924,,14-EF,,,,,,,,,,,,,,1,
Fuchs et al (2008),924,,15-Age,,,,,,,,,,,,,,,
Fuchs et al (2010),312,yxj13,1-PA,1,,,,,,,,,,,,,,
Fuchs et al (2010),312,,2-digitPM,,1,,,,,,,,,,,,,
Fuchs et al (2010),312,,3-nondigitPM,,,1,,,,,,,,,,,,
Fuchs et al (2010),312,,4-digitRAN,,,,1,,,,,,,,,,,
Fuchs et al (2010),312,,5-non-digitRAN,,,,,1,,,,,,,,,,
Fuchs et al (2010),312,,6-mathFluency,,,,,,1,,,,,,,,,
Fuchs et al (2010),312,,7-mathAccuracy,,,0.495,,,,1,,,,,,,,
Fuchs et al (2010),312,,8-basicNumberKnowledge,,,0.39,,,,0.63,1,,,,,,,
Fuchs et al (2010),312,,9-calculation,,,0.45,,,,0.63,0.51,1,,,,,,
Fuchs et al (2010),312,,10-WordProblem,,,0.54,,,,0.675,0.675,,1,,,,,
Fuchs et al (2010),312,,11-VerbalIQ,,,,,,,,,,,1,,,,
Fuchs et al (2010),312,,12-nonverbalIQ,,,0.33,,,,0.63,0.5,0.41,0.62,,1,,,
Fuchs et al (2010),312,,13-Vocabulary ,,,,,,,,,,,,,1,,
Fuchs et al (2010),312,,14-EF,,,0.53,,,,0.61,0.47,0.465,0.61,,,,1,
Fuchs et al (2010),312,,15-Age,,,,,,,,,,,,,,,
Hannula et al (2010),139,yxj14,1-PA,1,,,,,,,,,,,,,,
Hannula et al (2010),139,,2-digitPM,,1,,,,,,,,,,,,,
Hannula et al (2010),139,,3-nondigitPM,,,1,,,,,,,,,,,,
Hannula et al (2010),139,,4-digitRAN,,,,1,,,,,,,,,,,
Hannula et al (2010),139,,5-non-digitRAN,0.37,,,,1,,,,,,,,,,
Hannula et al (2010),139,,6-mathFluency,,,,,,1,,,,,,,,,
Hannula et al (2010),139,,7-mathAccuracy,0.4,,,,0.39,,1,,,,,,,,
Hannula et al (2010),139,,8-basicNumberKnowledge,0.4,,,,0.39,,0.55,1,,,,,,,
Hannula et al (2010),139,,9-calculation,,,,,0.25,,0.55,0.55,1,,,,,,
Hannula et al (2010),139,,10-WordProblem,,,,,,,,,,1,,,,,
Hannula et al (2010),139,,11-VerbalIQ,,,,,,,,,,,1,,,,
Hannula et al (2010),139,,12-nonverbalIQ,0.28,,,,0.17,,0.28,0.28,0.36,,,1,,,
Hannula et al (2010),139,,13-Vocabulary ,,,,,,,,,,,,,1,,
Hannula et al (2010),139,,14-EF,,,,,,,,,,,,,,1,
Hannula et al (2010),139,,15-Age,,,,,,,,,,,,,,,
Cirino et al (2011),285,yxj15,1-PA,1,,,,,,,,,,,,,,
Cirino et al (2011),285,,2-digitPM,,1,,,,,,,,,,,,,
Cirino et al (2011),285,,3-nondigitPM,,,1,,,,,,,,,,,,
Cirino et al (2011),285,,4-digitRAN,,,,1,,,,,,,,,,,
Cirino et al (2011),285,,5-non-digitRAN,,,,,1,,,,,,,,,,
Cirino et al (2011),285,,6-mathFluency,0.48,,,,,1,,,,,,,,,
Cirino et al (2011),285,,7-mathAccuracy,0.4053,,,,,0.4632,1,,,,,,,,
Cirino et al (2011),285,,8-basicNumberKnowledge,0.4053,,,,,0.4632,0.4632,1,,,,,,,
Cirino et al (2011),285,,9-calculation,0.48,,,,,,0.4632,0.4632,1,,,,,,
Cirino et al (2011),285,,10-WordProblem,,,,,,,,,,1,,,,,
Cirino et al (2011),285,,11-VerbalIQ,,,,,,,,,,,1,,,,
Cirino et al (2011),285,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Cirino et al (2011),285,,13-Vocabulary ,,,,,,,,,,,,,1,,
Cirino et al (2011),285,,14-EF,0.35,,,,,0.42,0.474,0.474,0.42,,,,,,
Cirino et al (2011),285,,15-Age,,,,,,,,,,,,,,,
Cowan et al (2011),259,yxj16,1-PA,1,,,,,,,,,,,,,,
Cowan et al (2011),259,,2-digitPM,,1,,,,,,,,,,,,,
Cowan et al (2011),259,,3-nondigitPM,,,1,,,,,,,,,,,,
Cowan et al (2011),259,,4-digitRAN,,,,1,,,,,,,,,,,
Cowan et al (2011),259,,5-non-digitRAN,,,,,1,,,,,,,,,,
Cowan et al (2011),259,,6-mathFluency,,0.24,,,,1,,,,,,,,,
Cowan et al (2011),259,,7-mathAccuracy,,0.25,,,,,1,,,,,,,,
Cowan et al (2011),259,,8-basicNumberKnowledge,,0.25,,,,,,1,,,,,,,
Cowan et al (2011),259,,9-calculation,,0.24,,,,,,,1,,,,,,
Cowan et al (2011),259,,10-WordProblem,,,,,,,,,,1,,,,,
Cowan et al (2011),259,,11-VerbalIQ,,,,,,,,,,,1,,,,
